Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Total_Number_of_Reviews,Positive_Review,Reviewer_Score,Tags,lat,lng,Calc_Average_Score,Average_Score_Difference,Leisure_trip,Couple,Solo_traveler,Business_trip,Group,Family_with_young_children,Family_with_older_children,With_a_pet
"Amsterdam, Netherlands",8/3/2017,7.8,Hotel Arena, Russia , I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer ,405, Only the park outside of the hotel was beautiful ,2.9," Leisure trip, Couple, Duplex Double Room, Stayed 6 nights ",52.3605759,4.9159683,7.8,-0.09999999999999964,1,1,0,0,0,0,0,0
"London, United Kingdom",8/3/2017,8.6,K K Hotel George, Ireland , Really nothing negative to say about this hotel,566, Very comfortable beds smart bathroom good shower Lovely facilities garden an absolute delight friendly staff quiet location,9.6," Leisure trip, Group, Classic Twin Room, Stayed 3 nights ",51.4918878,-0.1949706,8.6,-0.09999999999999964,1,0,0,0,1,0,0,0
"London, United Kingdom",8/2/2017,9.3,Apex Temple Court Hotel, United Kingdom , Difficult to locate the phone to contact reception lack toilet itineraries and it was difficult to locate these ,1037, They have followed through special requests Comfortable bed wide choices for breakfast and very clean ,9.2," Leisure trip, Couple, Deluxe King Room with Club Lounge Access and Balcony, Stayed 1 night ",51.5137335,-0.1087512,9.3,-0.10000000000000142,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,7.7,The Park Grand London Paddington, Cyprus , The first night we were given an extremely small room with the bathroom door broken Next morning when we made a complaint they gave us a perfect room ,1770, The size of the room,8.3," Family with young children, Triple Room, Stayed 3 nights, Submitted from a mobile device ",51.5142184,-0.1809032,7.7,0.0,0,0,0,0,0,1,0,0
"Paris, France",6/29/2017,8.8,Monhotel Lounge SPA, Brazil ,No Negative,35, Nice hotel Room was beautiful and bed very comfortable Did not expect big rooms in Paris so size was really ok with 2 windows Bathroom modern and new with a GREAT shower Staff was wonderfull since reservation They sent me an email prior to my arrival asking if they could help me in anyway and also asking if I had any special needs such as extra beds I had a last minute health problem in the family and had to arrive one day earlier and stay for 1 night less Audrey was wonderful and managed to receive me before and dealt herself with Booking to change my reservation I sent a note to her when I was entering my flight from Cannes to Paris and when I left the airplane she had already sorted everything out They even charged me a lower rate as on the day I arrived the room costed a little less In this same day Saturday June 25 I went out with friends and arrived really hungry at the hotel at 1 30AM and the guy from reception can t believe I forgot his name Maybe Hadesmi managed to open the restaurant and get to my room a nice aspargus risoto bread yougurt and a warm smile even thought riom service finishes at midnight Really had a very nice experience at Monhotel and recomend it ,9.2," Leisure trip, Group, Comfort Double Room, Stayed 1 night, Submitted from a mobile device ",48.8743481,2.2897334,8.8,-0.40000000000000036,1,0,0,0,1,0,0,0
"Paris, France",6/29/2017,5.9,Kube Hotel Ice Bar, United Kingdom , The hotel is situated in the worst area of Paris as the black cab driver i used from outside the station informed me as he charged me five times the going rate for dropping me there The Kube hotel is situated up a dirty side round with timber boarding across the front in the day and 3 4 doorman in the evening The ice bar in the hotel looks nothing like the advert on their website ,19,No Positive,3.3," Leisure trip, Couple, Superior Double or Twin Room, Stayed 3 nights ",48.88657,2.3588332,5.9,1.2999999999999998,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2016,8.0,The Principal London, United Kingdom , Hotel closing for refurbishment Most of the staff being sacked Future of the hotel likely to be expensive with new staff They are losing their best asset ,1425, Breakfast reasonable in price and good quality Comfy bar Good staff ,7.1," Business trip, Couple, Double Room, Stayed 3 nights, Submitted from a mobile device ",51.5226217,-0.1251602,8.0,0.0,0,1,0,1,0,0,0,0
"London, United Kingdom",8/3/2017,8.4,Park Plaza County Hall London, United Kingdom , Extra bed was the worst breakfast queue was really terrible It s easy to tell people to come at a specific time though you have to arrange it somehow Parking is far away and hard to come back because of road diversions ,2223, Just the location and view,5.0," Leisure trip, Family with young children, Executive Studio with London Eye View, Stayed 8 nights, Submitted from a mobile device ",51.5014001,-0.1160092,8.4,0.0,1,0,0,0,0,1,0,0
"London, United Kingdom",8/2/2017,9.1,One Aldwych, United Kingdom , The spa was very disappointing Just 5 cheap beds round the pool Nowhere else to sit The treatments weee nice but not good value for money,136, The room was pleasant and the bar area nice,5.4," Leisure trip, Group, Aldwych Double Twin Room, Stayed 1 night, Submitted from a mobile device ",51.5117832,-0.1194172,9.1,0.09999999999999964,1,0,0,0,1,0,0,0
"Paris, France",6/28/2017,9.1,Splendid Etoile, Switzerland , Restaurant and bar closed Sunday evening not informed in the website Water in the room first night only why do hotels charge a lot for the room then not leave water complimentary in the room We were told to walk to the shop at 10 pm for water ,127, Excellent location,7.5," Leisure trip, Group, Classic Room, Stayed 2 nights, Submitted from a mobile device ",48.874707,2.2936761,9.1,-0.1999999999999993,1,0,0,0,1,0,0,0
